ID_KELAS,NAMA_KELAS
 1,KOMC1C2                                                                                             
 2,KOM9AB                                                                                              
 3,KOM7C                                                                                               
 4,KOM7B                                                                                               
 5,KOM7AB                                                                                              
 6,KOM7A                                                                                               
 7,KOM5C2                                                                                              
 8,KOM5C1C2                                                                                            
 9,KOM5C1                                                                                              
 10,KOM5C                                                                                               
 11,KOM5B                                                                                               
 12,KOM5AB                                                                                              
 13,KOM5A                                                                                               
 14,KOM3C2                                                                                              
 15,KOM3C1C2                                                                                            
 16,KOM3C1                                                                                              
 17,KOM3B                                                                                               
 18,KOM3A                                                                                               
 19,KOM1C2                                                                                              
 20,KOM1C1                                                                                              
 21,KOM1C                                                                                               
 22,KOM1B                                                                                               
 23,KOM1AB                                                                                              
 24,KOM1A                                                                                               
 25,9.0                                                                                                 
 26,3A                                                                                                  
