KODE,MATA KULIAH,SKS
MA303,BIOLOGI UMUM, 3.0
MA300,MATEMATIKA DASAR, 3.0
MA103,BIOLOGI UMUM, 3.0
MA102,KIMIA UMUM, 3.0
MA101,FISIKA UMUM, 3.0
MA100,MATEMATIKA DASAR, 3.0
KU400,KULIAH KERJA NYATA (KKN), 2.0
KU107,"PENDIDIKAN LINGKUNGAN SOSIAL, BUDAYA, DAN TEKNOLOGI (PLSBT)", 2.0
KU106,PENDIDIKAN BAHASA INDONESIA, 2.0
KU105,PENDIDIKAN KEWARGANEGARAAN, 2.0
KD305,PENELITIAN PENDIDIKAN, 2.0
KD304,PENGELOLAAN PENDIDIKAN, 2.0
KD303,KURIKULUM DAN PEMBELAJARAN, 2.0
KD301,PSIKOLOGI PENDIDIKAN, 2.0
IK599,UJIAN SIDANG, 0.0
IK598,SKRIPSI, 6.0
IK591,PROGRAM LATIHAN AKADEMIK (PLA), 2.0
IK590,PROGRAM LATIHAN PROFESI (PLP), 4.0
IK571,DATA WAREHOUSE DAN MINING, 3.0
IK570,GAME PROGRAMMING, 3.0
IK561,INTERPRETASI DAN PENGOLAHAN CITRA, 3.0
IK550,PERSAMAAN DIFERENSIAL, 3.0
IK540,INTERAKSI MANUSIA DAN KOMPUTER, 3.0
IK531,SISTEM INFORMASI PENDIDIKAN, 3.0
IK530,SISTEM INFORMASI, 3.0
IK523,RANCANGAN SISTEM DIGITAL, 3.0
IK522,MIKROELEKTRONIKA, 3.0
IK511,TEKNIK KOMUNIKASI DATA, 3.0
IK503,MEDIA PEMBELAJARAN ILMU KOMPUTER, 3.0
IK493,KOMPUTER DAN MASYARAKAT, 2.0
IK492,SEMINAR, 3.0
IK491,KAPITA SELEKTA, 3.0
IK481,PEMROGRAMAN BERORIENTASI OBJEK, 3.0
IK470,MANAJEMEN PROYEK PERANGKAT LUNAK, 2.0
IK460,KECERDASAN BUATAN, 3.0
IK451,METODE NUMERIK, 3.0
IK450,LOGIKA INFORMATIKA, 2.0
IK443,PENGAJARAN BERBASIS KOMPUTER, 2.0
IK441,GRAFIKA KOMPUTER, 3.0
IK433,SISTEM PENDUKUNG KEPUTUSAN, 3.0
IK422,SISTEM OPERASI, 4.0
IK421,JARINGAN KOMPUTER, 3.0
IK410,STRUKTUR DATA, 3.0
IK407,SISTEM DIGITAL, 3.0
IK370,REKAYASA PERANGKAT LUNAK, 3.0
IK354,PROBABILISTIK DAN STATISTIKA, 3.0
IK353,STATISTIKA, 3.0
IK352,ALJABAR LINEAR DAN MATRIKS, 3.0
IK351,MATEMATIKA DISKRIT, 3.0
IK340,DISAIN WEB, 2.0
IK331,SISTEM BASIS DATA, 3.0
IK321,PENGANTAR SISTEM DIGITAL, 2.0
IK320,RANGKAIAN ELEKTRONIKA, 2.0
IK311,ALGORITMA DAN PEMROGRAMAN II, 3.0
IK310,ALGORITMA DAN PEMROGRAMAN 1, 2.0
IK301,KONSEP TEKNOLOGI, 2.0
IK300,PENGANTAR TEKNOLOGI INFORMASI, 2.0
